Brand,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Maruti,2021,7.18,81003,Diesel,Dealer,Automatic,1,3.16
Tata,2010,7.73,247035,CNG,Dealer,Automatic,0,0.66
Maruti,2017,6.13,142027,Diesel,Individual,Manual,3,1.07
Mahindra,2022,10.21,64258,Petrol,Dealer,Manual,1,5.06
Ford,2013,8.98,199927,Petrol,Dealer,Manual,0,1.19
Skoda,2015,14.2,155630,Petrol,Individual,Automatic,0,2.25
Honda,2020,8.61,95431,Petrol,Individual,Manual,1,2.53
Tata,2016,8.08,147798,Petrol,Individual,Manual,0,1.44
Tata,2019,8.04,110689,Petrol,Dealer,Manual,0,2.21
Skoda,2023,11.32,37644,Petrol,Dealer,Manual,0,7.37
Skoda,2019,12.15,108654,Petrol,Dealer,Manual,1,3.17
Volkswagen,2010,11.03,243845,Diesel,Dealer,Manual,0,1.02
Mahindra,2014,9.74,169418,CNG,Individual,Manual,0,1.29
Honda,2022,10.8,52531,Petrol,Dealer,Automatic,0,5.81
Volkswagen,2013,11.36,190246,Diesel,Individual,Manual,0,1.4
Hyundai,2018,9.43,111812,Petrol,Dealer,Manual,0,2.2
Mahindra,2009,11.94,249881,CNG,Dealer,Manual,0,0.8
Hyundai,2025,8.86,17508,Petrol,Dealer,Manual,2,6.85
Tata,2016,7.18,143496,Petrol,Dealer,Manual,1,1.35
Tata,2010,8.04,226602,Diesel,Dealer,Manual,1,0.71
Toyota,2009,17.03,245520,Petrol,Dealer,Manual,1,1.3
Skoda,2013,14.77,198079,Petrol,Dealer,Automatic,0,1.93
Honda,2015,11.85,166380,Diesel,Individual,Automatic,0,1.94
Maruti,2021,7.8,83850,Petrol,Individual,Manual,2,2.39
Maruti,2010,8.28,238563,Petrol,Dealer,Automatic,0,0.77
Skoda,2021,14.86,74959,Petrol,Dealer,Manual,0,6.33
Skoda,2010,12.63,233254,Diesel,Dealer,Automatic,1,1.2
Renault,2010,6.3,243908,Petrol,Dealer,Manual,1,0.56
